treatmentgroup,replicate,period,color,treatment,level,headRFP,headGFP,bodyRFP,bodyGFP,gaster,other,antenna,head,selfG,groomIn,groomOut,totGroomIn,totGroomOut,groomToR,groomToG,groomToT,rankGroomInGeneral,rankGroomInParticular,rankGroomOutGeneral,rankGroomOutParticular,
LTx,9,POST,green,N,X,0,1625,0,0,0.00693527080581,0.0,0.0131855765938,0.176586427907,0.0136136797299,0.166458730858,0.0664783012868,0.180072410588,0.0800919810167,0.0,0.037868780273,0.0245364254611,3.0,1.0,6.0,4.0,
LTx,10,PRE,yellow,N,X,0,8400,0,0,0.00807912470111,0.0,0.014165640171,0.0576045214115,0.0471342656329,0.0807187884936,0.13556988624,0.127853054127,0.182704151873,0.0,0.0,0.0161582494022,3.0,3.0,3.0,2.0,
LTx,10,PRE,orange,N,X,0,1250,0,0,0.0134048257373,0.0,0.00720962249112,0.0511919426129,0.0507934207666,0.0142380986885,0.00811535395986,0.0650315194551,0.0589087747265,0.0,0.0,0.00510832548366,5.0,4.0,6.0,4.0,
LTx,10,PRE,red,G,L,0,39250,0,11425,0.00597782769365,0.0,0.0203246141584,0.0319904354757,0.0447793638142,0.0,0.0743786682124,0.0447793638142,0.119158032027,0.0,0.0447793638142,0.0,6.0,2.0,5.0,2.0,
LTx,10,PRE,purple,N,X,0,0,0,0,0.0479313093254,0.0,0.00601405695239,0.0948119701471,0.0931454242446,0.29229765959,0.114919208753,0.385443083835,0.208064632998,0.0,0.0,0.000833272951235,1.0,1.0,4.0,3.0,
LTx,10,PRE,blue,T,X,0,6525,0,0,0.0153974349685,0.0,0.00355046735744,0.116585754655,0.0313383088182,0.0472067241504,0.147960292732,0.0785450329686,0.179298601551,0.0,0.0,0.0313383088182,4.0,1.0,2.0,1.0,
LTx,10,PRE,green,N,X,0,750,0,0,0.014455474241,0.0,0.00597782769365,0.104630099268,0.0197087167597,0.221143395406,0.174661256431,0.240852112166,0.19436997319,0.0,0.0,0.0251068763133,2.0,2.0,1.0,1.0,
LTx,10,POST,yellow,N,X,0,8400,0,0,0.00537621240325,0.0,0.00439649260312,0.154795728422,0.0334329381797,0.129935338493,0.487777995493,0.163368276673,0.521210933673,0.0,0.244097188204,0.166221710591,3.0,1.0,2.0,2.0,
LTx,10,POST,orange,N,X,0,1250,0,0,0.00154305868522,0.0,0.0125281669443,0.046230528069,0.0449323993338,0.0666944253943,0.0427035367885,0.111626824728,0.0876359361223,0.0,0.0341432350348,0.00543744489076,6.0,4.0,5.0,4.0,
LTx,10,POST,red,G,L,0,39250,0,11425,0.0257298912511,0.0,0.00233908102283,0.11063485843,0.0371681199177,0.908249240717,0.0,0.945417360635,0.0371681199177,0.0,0.0371681199177,0.0,1.0,1.0,6.0,2.0,
