Replicate,Dish,Colour,part,ch1,ch2
15,V,purple,head,800,29450
15,V,purple,body,0,23625
15,V,red,head,0,0
15,V,red,body,0,0
15,V,yellow,head,31250,325
15,V,yellow,body,47250,0
15,VI,blue,head,775,0
15,VI,blue,body,0,0
15,VI,green,head,950,0
15,VI,green,body,0,0
15,VI,orange,head,0,0
15,VI,orange,body,0,0
15,VI,purple,head,7875,225
15,VI,purple,body,24300,0
15,VI,red,head,0,300
15,VI,red,body,0,425
15,VI,yellow,head,0,4050
15,VI,yellow,body,0,17500
16,II,blue,head,0,725
16,II,blue,body,0,0
16,II,green,head,0,5750
16,II,green,body,0,0
16,II,orange,head,0,4100
16,II,orange,body,0,0
16,II,purple,head,0,8350
16,II,purple,body,0,0
16,II,red,head,0,500
16,II,red,body,0,0
16,II,yellow,head,0,4150
16,II,yellow,body,0,46425
16,IV,blue,head,0,0
16,IV,blue,body,275,0
16,IV,green,head,300,250
16,IV,green,body,0,0
16,IV,orange,head,875,0
16,IV,orange,body,35250,0
